category,total_volume,market_count
KXCONGRESSMENTION,808279.0,20
KXRTFLIGHTRISK,806207.0,10
KXKAMALAMENTION,803453.0,54
KXRTWAROFTHEROHIRRIM,801419.0,9
KXRTHEARTEYES,791130.0,9
KXMADUROOUT,790594.0,1
KXSECAGRO,789351.0,17
KXSPEAKERVOTE,786547.0,15
KXDJTHANNITY,778776.0,39
KXMEASLES,778105.0,23
ADAMS,777836.0,2
KXMRBEAST100M,775508.0,4
KXNFLREC,773626.0,2591
KXTRUMPUFC322,773160.0,1
KXBELGIANPLGAME,769695.0,96
KXCPICOREYOY,767738.0,111
OSCARPIC,767124.0,34
KXSTATEDEEPKH,764623.0,1
KXLARGECUT,756281.0,1
VAROMIC,754158.0,16
KXMISSIONIMPOSSIBLE,753022.0,12
KXSNLMENTION,749797.0,75
KXCLOSEST2025,749071.0,6
KXMAMDANINYC,746786.0,1
KXRTHOWTOTRAINYOURDRAGON,746555.0,9
OSCARNOMPIC,741628.0,35
SNOWNYM,738424.0,66
KXGRAMBNA,736878.0,18
CASE7D,731886.0,25
KXRTREDONE,730260.0,9
PRESPARTYOH,728599.0,2
FEDHIKE,725592.0,3
KXVOTECHAVEZDEREMER,724223.0,16
FRM,720835.0,505
KXRTTHUNDERBOLTS,711628.0,17
KXBERNIEMENTION,697452.0,104
KXRTSINNERS,697124.0,14
KXNGUARDCITY,696231.0,12
KXTIPTAX,696129.0,1
KXTOPAI,694553.0,21
KXRTONEBATTLEAFTERANOTHER,689462.0,12
KXCBVOLUME,684208.0,34
KXAPPLEMENTION,683628.0,15
KXNBAPLAYOFF,680809.0,53
KXCRYPTOSUMMIT,680486.0,26
KXRTLILOANDSTITCH,679969.0,14
KXTRUMPSAYMONTH,677342.0,46
KXJFKFILES,676971.0,1
PRESPARTYHI,676959.0,2
KXGDPYEAR,676614.0,12
RAINNYC,668838.0,344
KXPGARYDERCUPD2,668079.0,3
KXSPOTIFYSONGRELEASETS,666615.0,2
PRESPARTYAK,664044.0,2
KXSECLABOR,661551.0,4
VAXX,655896.0,65
DEFAULT,655856.0,2
KXLIVTOUR,655731.0,433
KXDJTCPAC,653576.0,20
KXPREEMPT,652115.0,1
RATEHIKE,650200.0,9
KXROMANIAMOV,648464.0,8
KXRT28YEARSLATER,642997.0,11
KXEARNINGSMENTIONNFLX,639498.0,42
KXDOGEMAX1,636252.0,8
KXMEDIARELEASEJIMMYKIMMEL,635257.0,4
KXEMMYDACTO,634233.0,11
KXDJTFRENCHREP,628428.0,22
KXTARIFFCHECKS,623716.0,1
KXMAMDANIBOROUGHS,622191.0,5
KXBIDENMENTION,619254.0,67
KXXRPD,617101.0,60580
KXSURVIVORMENTION,611571.0,150
KXSERIEA,606234.0,30
KXEUROVISION,606013.0,37
KXMLBWINS,605715.0,150
KXOSCARNOMDIR,601733.0,47
KXVANCE,599534.0,7
KXRTTHESMASHINGMACHINE,597883.0,11
RECSS,597086.0,1
KXRTF1,596244.0,12
KXRTTHEWOMANINTHEYARD,595927.0,14
PRESPARTYIL,595225.0,2
PRESPARTYCO,591608.0,2
CASESURGE,590180.0,2
KXETHATH,583689.0,2
KXGOVTFUNDSVOTES,583269.0,17
KXNFLDPOTY,582878.0,53
KXHMONTHRANGE,582126.0,150
KXSPOTIFYSONGSTFOO,581001.0,60
KXDJTCONF,579327.0,70
KXCANADAPARTY,576147.0,6
KXWTAFINALS,575173.0,7
KXSTATEFLIPKH,574484.0,1
KXMAXWELLPARDON,573024.0,2
KXRTSEVERANCES2,572639.0,8
KXWTAMAD,571521.0,62
KXGRAMROTY,567749.0,18
DEBATE,566815.0,12
KXSAUDIPLGAME,564187.0,36
WTIW,562443.0,1560
KXASIACUPCRICKET,562422.0,8
KXMODELHIGH,562086.0,5
KXNYCFINALMARGIN,559622.0,7
KXPRESNOMFEDCHAIR,559404.0,1
KXSECHUD,557495.0,5
KXTWITCHSUBSKAICENAT,557115.0,1
KXAFDPERCENT,555637.0,6
KXSECCOM,554923.0,4
KXVOTEFUNDING,552825.0,20
KXRTFDBLOODLINES,549012.0,12
KXNFLCPOTY,546234.0,33
KXWEALTHY,545622.0,7
PRESPARTYNE2,544034.0,2
KXBTCMAXW,542090.0,22
KXSWINGSWEEP24,538948.0,1
KXMEDIACONSUMPTIONTSWIFT,537620.0,10
KXRTTRONARES,536825.0,13
KXFDA,536389.0,4
KXJAN6PARDON,535646.0,6
KXREACTOR,534509.0,1
KXTOPALBUMBYTAYLORSWIFT,533018.0,2
KXRTBLACKPHONE2,533004.0,12
RAINSEA,532588.0,347
KXBTC2026200,531856.0,1
KXOSCARDIR,530948.0,30
SENATEMD,530579.0,4
KXPRESCHILER1,529696.0,8
KXUSAIRANAGREEMENT,529596.0,1
KXSHIBAD,526979.0,14316
KXUSDJPYH,519360.0,231300
KXRTCONJURING,518124.0,12
KXMLBNLCENT,515104.0,5
KXCRYPTORETURNY,509103.0,9
KXRTNIGHTBITCH,506034.0,12
KXOSCARNOMSUPACTO,505361.0,23
OIL,504774.0,48
KXRTM3GAN2,504376.0,12
KXHURCTOTMAJ,504263.0,16
KXSBGUESTS,503009.0,18
KXRTPREDATORBADLANDS,502434.0,12
KXPCECORE,501420.0,121
KXPICKLEBALL,501355.0,159
KXVOTESHUTDOWNS,498430.0,49
KXLCPIMAXYOY,498050.0,4
KXCANADAELECT,490339.0,1
KXRTHAPPYGILMORE2,490092.0,13
TOPSONG,489867.0,475
KXBLUEWALL,489276.0,1
KXMLBWSMVP,487594.0,21
KXSHIBA,485563.0,14316
KXEARNINGSMENTIONTGT,485321.0,12
KXRTACOMPLETEUNKNOWN,485279.0,9
KXNCAAMBIGTEN,484785.0,18
KXWALTZRESIGN,483987.0,1
KXARGENTINAPARTY,482950.0,7
KXRTACCOUNTANT2,482364.0,10
KXCORPTAXCUT,482281.0,1
KXMLBNLCY,478439.0,21
KXFEDMEET,471774.0,1
KXTARIFFSNEW,470680.0,2
KXMAG7DONATES,468156.0,4
KXMLBALWEST,467836.0,5
KXFL6MOV,467362.0,11
KXTOP3WEALTH,466831.0,22
KXOSCARNOMACTR,466396.0,19
KXCS2MAP,465326.0,42
KXRTNOBODY2,464838.0,10
KXNBAMIMP,463388.0,58
KXWL,460701.0,24
KXRECESSAPPT,459768.0,9
KXMUSKWEALTH,459616.0,4
KXGOVCA,459438.0,23
KXEARNINGSMENTIONEA,458782.0,13
KXWTAMIA,458161.0,30
KXOSCARWIN,457629.0,11
KXSWIFTWEEKSNUM1,456170.0,5
TESLA,452265.0,45
KXRANKLISTAIWFCIS,451683.0,2
KXLEAVEBONDI,449857.0,1
KXEMMYCACTO,448830.0,11
GOVSHUTLENGTH,447038.0,12
KXACOOPERMENTION,443749.0,40
KXRATECUTE,443416.0,1
KXEURUSDH,443041.0,231300
KXKLEAGUEGAME,442836.0,36
H5N1CASES,439780.0,5
KXRTELIO,439003.0,12
KXTNOTEW,437822.0,855
KXRTHIM,437586.0,14
